"","order","species","adult_body_mass_g","adult_head_body_len_mm","home_range_km2","litter_size"
"44","Primates","Ateles geoffroyi",7582.4,433.07,0.73,1.01
"45","Primates","Ateles hybridus",NA,NA,NA,NA
"46","Primates","Ateles marginatus",6229.28,460.27,NA,NA
"47","Primates","Ateles paniscus",8697.25,575.96,1.36,1
"48","Primates","Callicebus moloch",958.13,358.65,0.02,1.01
"49","Primates","Callicebus nigrifrons",NA,NA,NA,NA
"50","Primates","Callicebus oenanthe",992.4,NA,NA,1.02
"51","Primates","Callicebus olallae",992.4,NA,NA,1.02
"52","Primates","Callicebus ornatus",NA,NA,NA,NA
"53","Primates","Callicebus pallescens",NA,NA,NA,NA
"54","Primates","Callicebus personatus",1390.8,362.49,0.03,1.01
"55","Primates","Callicebus purinus",NA,NA,NA,NA
"56","Primates","Callicebus regulus",NA,NA,NA,NA
"57","Primates","Callicebus stephennashi",NA,NA,NA,NA
"58","Primates","Callicebus torquatus",1209.57,294.99,0.11,1.01
"59","Primates","Callimico goeldii",558,280,0.32,1.05
"60","Rodentia","Callistomys pictus",518.99,NA,NA,NA
"61","Primates","Callithrix acariensis",NA,NA,NA,NA
"62","Primates","Callithrix argentata",382.92,NA,NA,1.84
"63","Primates","Callithrix aurita",386.2,239.99,0.08,2
"64","Primates","Callithrix chrysoleuca",NA,NA,NA,NA
"65","Primates","Callithrix emiliae",309.58,NA,NA,NA
"66","Primates","Callithrix flaviceps",372.97,239.99,0.22,2
"67","Primates","Callithrix geoffroyi",342,NA,NA,NA
"68","Primates","Callithrix humeralifera",374.99,NA,0.1,NA
"69","Primates","Callithrix humilis",NA,NA,NA,NA
"70","Primates","Callithrix intermedia",NA,NA,0.19,2
"71","Primates","Callithrix jacchus",290.21,NA,0.02,2.31
"72","Primates","Callithrix kuhlii",374.99,NA,0.06,NA
"73","Primates","Callithrix leucippe",NA,NA,NA,NA
"74","Primates","Callithrix manicorensis",NA,NA,NA,NA
"75","Primates","Callithrix marcai",NA,NA,NA,NA
"76","Primates","Callithrix mauesi",443.79,NA,NA,NA
"77","Primates","Callithrix melanura",NA,NA,NA,NA
"78","Primates","Callithrix nigriceps",401.12,NA,NA,2
"79","Primates","Callithrix penicillata",339.98,NA,0.01,2
"80","Primates","Callithrix pygmaea",123.94,154.6,0.002117904,1.93
"81","Primates","Callithrix saterei",NA,NA,NA,NA
"82","Carnivora","Callorhinus ursinus",55464.82,1734.82,NA,1.04
"83","Rodentia","Callosciurus adamsi",208.72,203.5,NA,1.94
"84","Rodentia","Callosciurus albescens",NA,NA,NA,NA
"85","Rodentia","Callosciurus baluensis",323.91,203.5,NA,3
"86","Rodentia","Callosciurus caniceps",264.91,211.08,0.01,2.19
"87","Rodentia","Callosciurus erythraeus",283.23,211.93,0.008950755,1.94
"88","Rodentia","Callosciurus finlaysonii",NA,NA,NA,NA
"89","Rodentia","Callosciurus inornatus",NA,NA,NA,NA
"90","Rodentia","Callosciurus melanogaster",296,213,NA,NA
"91","Rodentia","Callosciurus nigrovittatus",208.3,203.5,0.01,2.36
"92","Rodentia","Callosciurus notatus",209.49,203.5,0.02,2.62
"93","Rodentia","Callosciurus orestes",323.91,203.5,NA,3
"94","Rodentia","Callosciurus phayrei",NA,NA,NA,NA
"95","Rodentia","Callosciurus prevostii",400,247,NA,1.29
"96","Rodentia","Callosciurus pygerythrus",NA,NA,NA,NA
"97","Rodentia","Callosciurus quinquestriatus",NA,NA,NA,NA
"98","Rodentia","Calomys boliviae",27,NA,NA,NA
"99","Rodentia","Calomys callidus",27,NA,NA,NA
"100","Rodentia","Calomys callosus",44.95,NA,NA,4.91
"101","Rodentia","Calomys expulsus",39.86,NA,NA,NA
"102","Rodentia","Calomys hummelincki",27,NA,NA,NA
"103","Rodentia","Calomys laucha",14,NA,NA,5.3
"104","Rodentia","Calomys lepidus",20.59,NA,NA,4.29
"105","Rodentia","Calomys musculinus",20.2,NA,NA,6.27
"106","Rodentia","Calomys sorellus",20,NA,NA,NA
"107","Rodentia","Calomys tener",13.8,69.2,NA,NA
"108","Rodentia","Calomys tocantinsi",NA,NA,NA,NA
"109","Rodentia","Calomys venustus",49.33,NA,NA,NA
"110","Rodentia","Calomyscus bailwardi",21.38,NA,NA,4
"111","Rodentia","Calomyscus baluchi",NA,NA,NA,NA
"112","Rodentia","Calomyscus elburzensis",NA,NA,NA,NA
"113","Rodentia","Calomyscus grandis",NA,NA,NA,NA
"114","Rodentia","Calomyscus hotsoni",NA,NA,NA,NA
"115","Rodentia","Calomyscus mystax",NA,NA,NA,4.99
"116","Rodentia","Calomyscus tsolovi",NA,NA,NA,NA
"117","Rodentia","Calomyscus urartensis",NA,NA,NA,NA
"118","Diprotodontia","Caloprymnus campestris",927.57,NA,NA,1
"119","Carnivora","Atelocynus microtis",8363.22,831.01,NA,NA
"120","Rodentia","Atherurus africanus",2875.65,430.99,0.12,1.5
"121","Rodentia","Atherurus macrourus",2000,NA,NA,1.5
"122","Carnivora","Atilax paludinosus",3600.16,499.01,1.73,2
"123","Rodentia","Atlantoxerus getulus",250.57,189.1,NA,NA
"124","Rodentia","Auliscomys boliviensis",70.91,NA,NA,3.4
"125","Rodentia","Auliscomys pictus",48.97,NA,NA,NA
"126","Rodentia","Auliscomys sublimis",38,NA,NA,NA
"127","Primates","Avahi laniger",1092.28,275,0.01,1.01
"128","Primates","Avahi occidentalis",828.98,NA,0.01,1.02
"129","Primates","Avahi unicolor",NA,NA,NA,NA
"130","Artiodactyla","Axis axis",69499.99,NA,0.67,1.01
"131","Artiodactyla","Axis calamianensis",39812.6,1387.44,NA,2
"132","Artiodactyla","Axis kuhlii",54999.99,1375,NA,1.22
"133","Artiodactyla","Axis porcinus",37448.29,NA,0.52,1
"134","Artiodactyla","Babyrousa babyrussa",92950.09,950,NA,1.73
"135","Artiodactyla","Babyrousa bolabatuensis",NA,NA,NA,NA
"136","Artiodactyla","Babyrousa celebensis",NA,NA,NA,NA
"137","Cetacea","Balaenoptera musculus",154321304.5,30480,NA,1
"138","Cetacea","Balaenoptera physalus",47506008.23,20641.06,NA,1.01
"139","Chiroptera","Balantiopteryx infusca",NA,NA,NA,NA
"140","Chiroptera","Balantiopteryx io",3.97,40.2,NA,1
"141","Chiroptera","Balantiopteryx plicata",6.57,NA,NA,0.99
"142","Chiroptera","Balionycteris maculata",14.43,NA,NA,1
"143","Rodentia","Bandicota bengalensis",226.99,NA,NA,7.29
"144","Rodentia","Bandicota indica",583.09,NA,NA,6.12
"145","Artiodactyla","Cephalophus niger",19094.32,1041.8,NA,1
"146","Artiodactyla","Cephalophus nigrifrons",14676.33,944.21,NA,NA
"147","Artiodactyla","Cephalophus ogilbyi",18386.42,1000,0.07,1
"148","Artiodactyla","Cephalophus rufilatus",12114.57,650,NA,1
"149","Artiodactyla","Cephalophus silvicultor",62006.6,1324.76,NA,1
"150","Artiodactyla","Cephalophus spadix",56857.02,1174.48,NA,NA
"151","Artiodactyla","Cephalophus weynsi",NA,NA,NA,NA
"152","Artiodactyla","Cephalophus zebra",15654.75,874.99,NA,1
"153","Cetacea","Cephalorhynchus commersonii",72400,NA,NA,0.98
"154","Cetacea","Cephalorhynchus eutropia",45000,NA,NA,0.97
"155","Cetacea","Cephalorhynchus heavisidii",39999.99,NA,NA,0.97
"156","Cetacea","Cephalorhynchus hectori",49999.99,NA,NA,1
"157","Perissodactyla","Ceratotherium simum",2285939.43,2586.81,19.09,1
"158","Diprotodontia","Cercartetus caudatus",23.05,97.97,NA,2.37
"159","Diprotodontia","Cercartetus concinnus",15.96,NA,NA,4.6
"160","Diprotodontia","Cercartetus lepidus",8.03,NA,NA,3.33
"161","Diprotodontia","Cercartetus nanus",26.85,NA,0.005564565,3.96
"162","Primates","Cercocebus agilis",7105.62,NA,NA,NA
"163","Primates","Cercocebus atys",6941.24,NA,NA,1.01
"164","Primates","Cercocebus chrysogaster",NA,NA,NA,NA
"165","Primates","Cercocebus galeritus",7077.66,510,0.51,1.01
"166","Primates","Cercocebus sanjei",NA,NA,NA,NA
"167","Primates","Cercocebus torquatus",7293.07,660,NA,1.01
"168","Primates","Cercopithecus albogularis",NA,NA,0.13,1.02
"169","Primates","Cercopithecus ascanius",3540.24,444.99,0.16,1.01
"170","Primates","Cercopithecus campbelli",3627.73,455,0.01,1.02
"171","Primates","Cercopithecus cephus",3444.88,520,0.24,1.01
"172","Primates","Cercopithecus denti",NA,NA,NA,1.02
"173","Primates","Cercopithecus diana",4358.91,470,1.25,1.01
"174","Primates","Cercopithecus doggetti",NA,NA,NA,NA
"175","Primates","Cercopithecus dryas",2784.06,NA,NA,1.02
"176","Primates","Cercopithecus erythrogaster",3444.88,457.49,NA,1.02
"177","Primates","Cercopithecus erythrotis",3254.98,435,NA,1.02
"178","Primates","Cercopithecus hamlyni",NA,NA,NA,NA
"179","Primates","Cercopithecus kandti",NA,NA,NA,NA
"180","Primates","Cercopithecus lhoesti",5307.47,510,NA,1
"181","Primates","Cercopithecus lowei",NA,NA,NA,NA
"182","Primates","Cercopithecus mitis",5041.29,575,0.1,1
"183","Primates","Cercopithecus mona",3980.17,510,NA,1
"184","Primates","Cercopithecus neglectus",5324.52,510,0.06,1.02
"185","Primates","Cercopithecus nictitans",5256.91,549.99,1.15,1
"186","Primates","Cercopithecus petaurista",3233.67,410,NA,1.02
"187","Primates","Cercopithecus pogonias",3578.27,459.99,1.15,1.01
"188","Primates","Cercopithecus preussi",5132.57,545,NA,1.02
"189","Primates","Cercopithecus roloway",NA,NA,NA,NA
"190","Primates","Cercopithecus sclateri",3067.29,NA,NA,1.02
"191","Primates","Cercopithecus solatus",5256.91,NA,NA,1.01
"192","Primates","Cercopithecus wolfi",3255.18,480,NA,1.02
"193","Carnivora","Cerdocyon thous",5741.66,648.06,1.41,3.09
"194","Artiodactyla","Cervus elaphus",240867.13,2136.72,58.42,1.09
"195","Artiodactyla","Cervus nippon",52999.99,1200.51,1.43,1
"196","Chiroptera","Chaerephon aloysiisabaudiae",NA,NA,NA,NA
"197","Chiroptera","Chaerephon ansorgei",NA,NA,NA,NA
"198","Chiroptera","Chaerephon bemmeleni",NA,NA,NA,NA
"199","Chiroptera","Chaerephon bivittatus",15.42,NA,NA,NA
"200","Chiroptera","Chaerephon bregullae",NA,NA,NA,NA
"201","Chiroptera","Chaerephon chapini",NA,NA,NA,NA
"202","Chiroptera","Chaerephon gallagheri",NA,NA,NA,NA
"203","Chiroptera","Chaerephon jobensis",20.71,NA,NA,NA
"204","Chiroptera","Chaerephon johorensis",NA,NA,NA,NA
"205","Chiroptera","Chaerephon leucogaster",NA,NA,NA,NA
"206","Chiroptera","Chaerephon major",15.17,NA,NA,1
"207","Chiroptera","Chaerephon nigeriae",20.14,NA,NA,NA
"208","Chiroptera","Chaerephon plicatus",21.83,NA,NA,0.99
"209","Chiroptera","Chaerephon pumilus",10.98,NA,NA,1
"210","Chiroptera","Chaerephon russatus",16.98,NA,NA,0.99
"211","Chiroptera","Chaerephon shortridgei",NA,NA,NA,NA
"212","Chiroptera","Chaerephon solomonis",NA,NA,NA,NA
"213","Chiroptera","Chaerephon tomensis",7.48,NA,NA,NA
"214","Peramelemorphia","Chaeropus ecaudatus",219.51,NA,NA,1.41
"215","Rodentia","Chaetocauda sichuanensis",31.51,91.8,NA,NA
"216","Rodentia","Chaetodipus arenarius",23,68.37,NA,2.91
"217","Rodentia","Chaetodipus artus",NA,88.81,NA,NA
"218","Rodentia","Chaetodipus baileyi",28.44,93.93,NA,3.68
"219","Rodentia","Chaetodipus californicus",23.01,NA,NA,4
"220","Rodentia","Chaetodipus dalquesti",NA,NA,NA,NA
"221","Rodentia","Chaetodipus eremicus",NA,NA,NA,NA
"222","Rodentia","Chaetodipus fallax",19.19,83.35,0.002300009,3.45
"223","Rodentia","Chaetodipus formosus",20.02,193.91,NA,5.28
"224","Rodentia","Chaetodipus goldmani",NA,NA,NA,NA
"225","Rodentia","Chaetodipus hispidus",37.24,104.51,NA,5.34
"226","Rodentia","Chaetodipus intermedius",14.94,NA,NA,5.53
"227","Rodentia","Chaetodipus lineatus",23,73.58,NA,NA
"228","Rodentia","Chaetodipus nelsoni",15.53,79.83,0.002835545,3.46
"229","Rodentia","Chaetodipus penicillatus",15.57,77.36,0.005027576,3.4
"230","Rodentia","Chaetodipus pernix",17,71.87,NA,NA
"231","Rodentia","Chaetodipus rudinoris",NA,NA,NA,NA
"232","Rodentia","Chaetodipus spinatus",16.34,83.66,NA,3.5
"233","Rodentia","Cricetulus barabensis",NA,NA,NA,6.06
"234","Rodentia","Cricetulus kamensis",NA,NA,NA,NA
"235","Rodentia","Cricetulus longicaudatus",NA,NA,NA,5.71
"236","Rodentia","Cricetulus migratorius",30.59,NA,NA,5.2
"237","Rodentia","Cricetulus sokolovi",NA,NA,NA,NA
"238","Rodentia","Cricetus cricetus",428.95,NA,NA,7.14
"239","Soricomorpha","Crocidura aleksandrisi",NA,NA,NA,NA
"240","Soricomorpha","Crocidura allex",NA,NA,NA,3.99
"241","Soricomorpha","Crocidura andamanensis",NA,NA,NA,NA
"242","Soricomorpha","Crocidura ansellorum",NA,NA,NA,NA
"243","Soricomorpha","Crocidura arabica",NA,NA,NA,NA
"244","Soricomorpha","Crocidura arispa",NA,NA,NA,NA
"245","Soricomorpha","Crocidura armenica",NA,NA,NA,NA
"246","Soricomorpha","Crocidura attenuata",NA,NA,NA,0.99
"247","Soricomorpha","Crocidura attila",NA,NA,NA,NA
"248","Soricomorpha","Crocidura baileyi",NA,NA,NA,NA
"249","Soricomorpha","Crocidura baluensis",NA,NA,NA,NA
"250","Soricomorpha","Crocidura batesi",16.49,68.79,NA,NA
"251","Soricomorpha","Crocidura beatus",10.55,NA,NA,NA
"252","Soricomorpha","Crocidura beccarii",NA,NA,NA,NA
"253","Soricomorpha","Crocidura bottegi",3.49,NA,NA,2.99
"254","Soricomorpha","Crocidura bottegoides",NA,NA,NA,NA
"255","Soricomorpha","Crocidura brunnea",NA,NA,NA,NA
"256","Soricomorpha","Crocidura buettikoferi",NA,NA,NA,2.99
"257","Soricomorpha","Crocidura caliginea",NA,NA,NA,NA
"258","Soricomorpha","Crocidura canariensis",7.5,NA,NA,NA
"259","Soricomorpha","Crocidura caspica",NA,NA,NA,NA
"260","Soricomorpha","Crocidura cinderella",NA,NA,NA,NA
"261","Soricomorpha","Crocidura congobelgica",NA,NA,NA,NA
"262","Soricomorpha","Crocidura crenata",NA,NA,NA,NA
"263","Soricomorpha","Crocidura crossei",8,NA,NA,3
"264","Soricomorpha","Crocidura cyanea",8.58,NA,NA,3.59
"265","Soricomorpha","Crocidura denti",NA,NA,NA,NA
"266","Soricomorpha","Crocidura desperata",NA,NA,NA,NA
"267","Soricomorpha","Crocidura dhofarensis",NA,NA,NA,NA
"268","Soricomorpha","Crocidura dolichura",5.63,71,NA,NA
"269","Soricomorpha","Crocidura douceti",4.3,NA,NA,NA
"270","Soricomorpha","Crocidura dsinezumi",NA,NA,NA,4.29
"271","Soricomorpha","Crocidura eisentrauti",NA,NA,NA,1.99
"272","Soricomorpha","Crocidura elgonius",6.5,NA,NA,NA
"273","Soricomorpha","Crocidura elongata",NA,NA,NA,NA
"274","Soricomorpha","Crocidura erica",NA,NA,NA,NA
"275","Soricomorpha","Crocidura fischeri",NA,NA,NA,NA
"276","Soricomorpha","Crocidura flavescens",31.22,NA,NA,3.37
"277","Soricomorpha","Crocidura floweri",NA,NA,NA,NA
"278","Soricomorpha","Crocidura foetida",NA,NA,NA,NA
"279","Soricomorpha","Crocidura foxi",21,NA,NA,1.99
"280","Soricomorpha","Crocidura fuliginosa",12,NA,NA,1.73
"281","Soricomorpha","Crocidura fulvastra",10,NA,NA,NA
"282","Soricomorpha","Crocidura fumosa",14.49,NA,NA,3.74
"283","Soricomorpha","Crocidura fuscomurina",5.6,60.21,NA,3
"284","Soricomorpha","Crocidura glassi",NA,NA,NA,NA
"285","Soricomorpha","Crocidura gmelini",NA,NA,NA,NA
"286","Soricomorpha","Crocidura goliath",87.92,147.42,NA,NA
"287","Soricomorpha","Crocidura gracilipes",6.69,NA,NA,2.99
"288","Soricomorpha","Crocidura grandiceps",23,NA,NA,NA
"289","Soricomorpha","Crocidura grandis",NA,NA,NA,NA
"290","Soricomorpha","Crocidura grassei",NA,62.99,NA,NA
"291","Soricomorpha","Crocidura grayi",10.7,NA,NA,NA
"292","Soricomorpha","Crocidura greenwoodi",NA,NA,NA,NA
"293","Soricomorpha","Crocidura harenna",NA,NA,NA,NA
"294","Soricomorpha","Crocidura hildegardeae",10.28,NA,NA,NA
"295","Soricomorpha","Crocidura hilliana",NA,NA,NA,NA
"296","Soricomorpha","Crocidura hirta",15.8,NA,NA,3.89
"297","Soricomorpha","Crocidura hispida",NA,NA,NA,NA
"298","Soricomorpha","Crocidura orii",NA,NA,NA,NA
"299","Soricomorpha","Crocidura palawanensis",NA,NA,NA,NA
"300","Soricomorpha","Crocidura paradoxura",NA,NA,NA,NA
"301","Soricomorpha","Crocidura parvipes",NA,NA,NA,NA
"302","Soricomorpha","Crocidura pasha",6.5,NA,NA,NA
"303","Soricomorpha","Crocidura pergrisea",NA,NA,NA,NA
"304","Soricomorpha","Crocidura phaeura",NA,NA,NA,NA
"305","Soricomorpha","Crocidura picea",NA,NA,NA,NA
"306","Soricomorpha","Crocidura pitmani",NA,NA,NA,NA
"307","Soricomorpha","Crocidura planiceps",2.5,NA,NA,3
"308","Soricomorpha","Crocidura poensis",17.05,NA,NA,2.44
"309","Soricomorpha","Crocidura polia",NA,NA,NA,NA
"310","Soricomorpha","Crocidura pullata",NA,NA,NA,NA
"311","Soricomorpha","Crocidura raineyi",14.49,NA,NA,NA
"312","Soricomorpha","Crocidura ramona",NA,NA,NA,NA
"313","Soricomorpha","Crocidura rapax",NA,NA,NA,NA
"314","Soricomorpha","Crocidura religiosa",7,NA,NA,NA
"315","Soricomorpha","Crocidura rhoditis",NA,NA,NA,NA
"316","Soricomorpha","Crocidura roosevelti",NA,NA,NA,NA
"317","Soricomorpha","Crocidura russula",9.89,69.29,0.000165903,4.04
"318","Soricomorpha","Crocidura selina",NA,NA,NA,NA
"319","Soricomorpha","Crocidura serezkyensis",NA,NA,NA,NA
"320","Soricomorpha","Crocidura shantungensis",NA,NA,NA,NA
"321","Soricomorpha","Crocidura sibirica",NA,NA,NA,NA
"322","Soricomorpha","Crocidura sicula",NA,NA,NA,NA
"323","Soricomorpha","Crocidura silacea",7,NA,NA,3.99
"324","Soricomorpha","Crocidura smithii",NA,NA,NA,NA
"325","Soricomorpha","Crocidura somalica",11.5,NA,NA,NA
"326","Soricomorpha","Crocidura stenocephala",NA,NA,NA,NA
"327","Soricomorpha","Crocidura suaveolens",7.35,NA,NA,3.49
"328","Soricomorpha","Crocidura susiana",NA,NA,NA,NA
"329","Chiroptera","Eptesicus kobayashii",NA,NA,NA,NA
"330","Chiroptera","Eptesicus matroka",6.57,82.49,NA,1.22
"331","Chiroptera","Eptesicus nasutus",7.91,NA,NA,NA
"332","Chiroptera","Eptesicus nilssonii",10.72,NA,NA,1.5
"333","Chiroptera","Eptesicus pachyotis",8.1,NA,NA,NA
"334","Perissodactyla","Equus kiang",281138.63,NA,NA,NA
"335","Perissodactyla","Equus quagga",4e+05,NA,NA,NA
"336","Perissodactyla","Equus zebra",282462.13,2350,7.4,1
"337","Afrosoricida","Eremitalpa granti",22.04,76.02,0.03,1.36
"338","Rodentia","Eremodipus lichtensteini",NA,NA,NA,4.86
"339","Rodentia","Erethizon dorsatum",7419.46,837.5,0.1,1
"340","Carnivora","Erignathus barbatus",279999.99,2293.15,NA,1
"341","Erinaceomorpha","Erinaceus amurensis",NA,249.64,NA,NA
"342","Erinaceomorpha","Erinaceus concolor",665.99,231.89,0.01,5.23
"343","Erinaceomorpha","Erinaceus europaeus",777.95,237.17,0.08,4.64
"344","Erinaceomorpha","Erinaceus roumanicus",NA,NA,NA,NA
"345","Rodentia","Eropeplus canus",NA,NA,NA,NA
"346","Chiroptera","Erophylla bombifrons",16.28,NA,NA,NA
"347","Chiroptera","Erophylla sezekorni",15.87,NA,NA,1
"348","Primates","Erythrocebus patas",7966.3,665,28.24,1.01
"349","Chiroptera","Eptesicus platyops",NA,NA,NA,NA
"350","Chiroptera","Eptesicus serotinus",23.09,67.99,NA,1.5
"351","Chiroptera","Eptesicus tatei",NA,NA,NA,NA
"352","Perissodactyla","Equus asinus",164998.49,NA,139.69,1
"353","Perissodactyla","Equus burchellii",279160.65,NA,127.99,1
"354","Perissodactyla","Equus caballus",403598.53,NA,15.62,1
"355","Perissodactyla","Equus grevyi",408000.35,2700,NA,1
"356","Perissodactyla","Equus hemionus",235248.07,2250,NA,1
"357","Carnivora","Genetta bourloni",NA,NA,NA,NA
"358","Carnivora","Genetta cristata",1863.23,515,NA,2.5
"359","Carnivora","Genetta genetta",1756.17,552.44,10.9,2.29
"360","Carnivora","Genetta johnstoni",2225,NA,NA,NA
"361","Carnivora","Genetta maculata",1950,NA,NA,2.12
"362","Carnivora","Genetta pardina",NA,NA,NA,NA
"363","Carnivora","Genetta piscivora",1648.05,456.13,NA,0.96
"364","Carnivora","Genetta poensis",NA,NA,NA,NA
"365","Rodentia","Delomys collinus",NA,NA,NA,NA
"366","Rodentia","Delomys dorsalis",67.5,NA,NA,NA
"367","Rodentia","Delomys sublineatus",89.99,NA,NA,NA
"368","Cetacea","Delphinapterus leucas",1381640.73,4249.83,NA,1.02
"369","Cetacea","Delphinus capensis",NA,NA,NA,NA
"370","Cetacea","Delphinus delphis",79271.69,2439.99,NA,0.98
"371","Rodentia","Deltamys kempi",26.4,NA,NA,NA
"372","Scandentia","Dendrogale melanura",59.99,125,NA,NA
"373","Scandentia","Dendrogale murina",49.99,NA,NA,NA
"374","Hyracoidea","Dendrohyrax arboreus",2981.11,499.99,NA,1.51
"375","Hyracoidea","Dendrohyrax dorsalis",3174.99,NA,NA,1.22
"376","Diprotodontia","Dendrolagus bennettianus",10458.82,NA,NA,1
"377","Diprotodontia","Dendrolagus dorianus",8976.58,603.43,NA,1.01
"378","Diprotodontia","Dendrolagus goodfellowi",7948.78,NA,NA,1
"379","Rodentia","Bibimys torresi",28,NA,NA,NA
"380","Artiodactyla","Bison bison",624577.07,2849.24,47.39,0.98
"381","Artiodactyla","Bison bonasus",675876.7,2900,7.91,1
"382","Rodentia","Biswamoyopterus biswasi",NA,NA,NA,NA
"383","Rodentia","Blanfordimys afghanus",NA,NA,NA,3.4
"384","Rodentia","Blanfordimys bucharensis",NA,NA,NA,NA
"385","Soricomorpha","Blarina brevicauda",18.56,120.82,0.003539783,5.39
"386","Soricomorpha","Blarina carolinensis",11.91,73.2,0.00995781,3.95
"387","Soricomorpha","Blarina hylophaga",14.49,NA,NA,NA
"388","Soricomorpha","Blarina peninsulae",NA,NA,NA,NA
"389","Artiodactyla","Babyrousa togeanensis",NA,NA,NA,NA
"390","Rodentia","Baiomys musculus",8.99,75.59,NA,2.62
"391","Rodentia","Baiomys taylori",7.43,63.9,0.000384598,2.52
"392","Cetacea","Balaena mysticetus",79691178.99,12187.12,NA,1
"393","Cetacea","Balaenoptera acutorostrata",5587093.59,5529.31,NA,1
"394","Cetacea","Balaenoptera bonaerensis",NA,NA,NA,NA
"395","Cetacea","Balaenoptera borealis",22106251.95,18382.16,NA,1.02
"396","Cetacea","Balaenoptera edeni",19999999.97,13846.17,NA,0.97
"397","Soricomorpha","Blarinella griselda",NA,NA,NA,NA
"398","Soricomorpha","Blarinella quadraticauda",12.5,67.5,NA,NA
"399","Soricomorpha","Blarinella wardi",NA,NA,NA,NA
"400","Rodentia","Blarinomys breviceps",36.79,104.55,NA,1.21
"401","Artiodactyla","Blastocerus dichotomus",112518.53,1720,NA,0.98
"402","Rodentia","Boromys offella",NA,NA,NA,NA
"403","Rodentia","Boromys torrei",NA,NA,NA,NA
"404","Lagomorpha","Brachylagus idahoensis",431.19,265.1,0.003792025,5.81
"405","Chiroptera","Brachyphylla cavernarum",45.5,81.26,NA,1
"406","Chiroptera","Brachyphylla nana",37.25,84.19,NA,0.98
"407","Rodentia","Brachytarsomys albicauda",200,225,NA,NA
"408","Rodentia","Brachytarsomys villosa",219.99,NA,NA,NA
"409","Primates","Brachyteles arachnoides",10537.31,578.19,1.04,1.02
"410","Primates","Brachyteles hypoxanthus",NA,NA,NA,NA
"411","Rodentia","Brachyuromys betsileoensis",93.58,162.5,NA,NA
"412","Rodentia","Brachyuromys ramirohitra",92.31,162.5,NA,NA
"413","Pilosa","Bradypus pygmaeus",NA,NA,NA,NA
"414","Soricomorpha","Crocidura olivieri",34.42,108.11,NA,NA
"415","Soricomorpha","Crocidura orientalis",NA,NA,NA,NA
"416","Artiodactyla","Cephalophus dorsalis",20000,849.99,0.27,1
"417","Artiodactyla","Cephalophus jentinki",68489.54,1349.99,NA,1
